Change component parameters: Designator = "Q1"; Footprint = "Diodes_2N7002-7-F_0"; UniqueID = "\RYUHBQXS"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "breakdown_voltage_drain_to_source"; Value = "70 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category 2F8Ae2801E7Ef44D"; Value = "Uncategorized"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category 3B27F62D0A3Ae0E0"; Value = "Discretes (diodes, transistors, thyristors ...)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category 6F04A20E5Eeab4C3"; Value = "Uncategorized"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category 9E07530Daf1645C0"; Value = "Semiconductors and Actives"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category 931F5E15A77D48D8"; Value = "Uncategorized"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category Aa6D67679B8D71Aa"; Value = "N Channel MOSFET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category D77D1A77E69F0Cba"; Value = "Transistors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category E7B12Abbd6523C76"; Value = "MOSFETs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Upverter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://upverter.com/upn/revision/25d808f54d4a1cce/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://upverter.com/datasheet/64901800f65d029d74a1b11cf5c344e3d7ff58ae.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "current_rating"; Value = "115 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "TRANS MOSFET N-CH 60V 115MA SOT23-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Part Number"; Value = "2N7002-FDICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "helpURL"; Value = "https://upverter.com/upn/revision/25d808f54d4a1cce/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "id_continuous_drain_current"; Value = "115 mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ipc Land Pattern Name"; Value = "SOT92P240X120-3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "max_breakdown_voltage_gate_to_source"; Value = "20 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "min_breakdown_voltage_gate_to_source"; Value = "-20 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "surface mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Part Number"; Value = "621-2N7002-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Num Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart Part Number"; Value = "e39a2a95da213c5d"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "2N7002-7-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "polarity"; Value = "N-Channel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "power_dissipation"; Value = "300 mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.0714567392161"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "rds_drain_to_source_resistance_on"; Value = "4.4 O"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 2"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2N7002-FDICT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 2"; Value = "621-2N7002-F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature"; Value = "-55°C to +150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range High"; Value = "+150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "vds_drain_to_source_voltage"; Value = "60 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "voltage_rating_dc"; Value = "60 V"; VariantName = "[No Variations]"
Added Component: Designator=R3(RESC3216X60N)
Add component. Clean all parameters for all variants
Add component (AddParameter): Name = "Case/Package"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "1206"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "3216"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.seielect.com/Catalog/SEI-rncp.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.seielect.com/Catalog/SEI-rncp.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://www.seielect.com/catalog/SEI-Packaging.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.seielect.com/catalog/SEI-Packaging.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thin Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Nickel,Tin,Matte"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.122inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Stackpole Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RNCP1206FTD1K00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "500mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.052, 100=0.0211, 1000=0.00949, 2500=0.00824 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "10kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "679"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number"; Value = "RNCP1206FTD10K0CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.059inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=NetD2_1 Pin=R3-1
Added Pin To Net: NetName=12V Pin=R3-2
Added Member To Class: ClassName=Relay Board Member=Component R3 1k
